Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card
Atlanta United II - Louisville City 1:1,United States. USL Championship,2021-09-30,RDMF,94,76,45,0,0,0,0,0,41,37,0,0,1,1,1,1,14,6,2,0,3,4,2,10,4,0,0
Atlanta United II - Birmingham Legion 0:4,United States. USL Championship,2021-09-23,LCMF,61,59,42,0,0,1,0,0.1,36,30,1,1,0,0,1,1,14,9,2,2,2,5,3,8,5,0,0
Atlanta United II - Tampa Bay Rowdies 0:2,United States. USL Championship,2021-09-19,"DMF, LCMF",96,80,56,0,0,1,0,0,53,47,2,1,0,0,1,0,18,8,3,1,4,6,3,4,2,0,0
Atlanta United II - Charleston Battery 1:1,United States. USL Championship,2021-09-16,LCMF,97,89,72,0,0,1,0,0,68,63,5,3,0,0,3,3,13,8,0,0,3,5,1,10,5,24,0
Indy Eleven - Atlanta United II 0:1,United States. USL Championship,2021-09-05,LCMF,97,72,54,0,0,0,0,0,42,36,2,1,0,0,4,3,24,17,5,3,2,14,10,14,5,0,0
FC Tulsa - Atlanta United II 3:1,United States. USL Championship,2021-08-29,DMF,51,29,18,0,0,0,0,0,21,15,2,0,0,0,0,0,5,3,0,0,2,4,2,3,1,0,0
Pittsburgh Riverhounds - Atlanta United II 4:1,United States. USL Championship,2021-08-23,DMF,72,69,52,0,0,0,0,0,51,44,3,1,0,0,1,1,13,5,4,2,1,10,4,12,5,0,0
Sporting KC II - Atlanta United II 1:4,United States. USL Championship,2021-08-14,DMF,75,52,38,0,0,0,0,0,34,33,1,0,0,0,0,0,12,4,1,1,1,1,0,3,1,36,0
Atlanta United II - Indy Eleven 6:2,United States. USL Championship,2021-08-09,DMF,28,30,28,0,0,0,0,0,27,25,0,0,0,0,1,1,2,2,0,0,0,2,2,1,1,0,0
Birmingham Legion - Atlanta United II 3:1,United States. USL Championship,2021-08-05,"LCMF, RDMF",27,22,13,0,0,0,0,0,12,9,0,0,0,0,1,1,6,3,0,0,3,3,1,4,1,0,0
Birmingham Legion - Atlanta United II 2:2,United States. USL Championship,2021-08-01,DMF,41,30,21,0,0,2,0,0.07,16,14,0,0,0,0,1,1,9,7,1,1,1,2,0,5,2,0,0
Atlanta United II - FC Tulsa 2:1,United States. USL Championship,2021-07-29,DMF,23,20,14,0,0,0,0,0,10,9,0,0,0,0,0,0,8,4,1,1,0,1,0,3,2,0,0
Philadelphia Union II - Atlanta United II 1:2,United States. USL Championship,2020-09-03,LCMF3,49,31,14,0,0,2,0,0.07,16,11,2,1,0,0,2,0,10,3,1,1,0,8,3,3,1,0,0
Tampa Bay Rowdies - Atlanta United II 2:1,United States. USL Championship,2020-08-23,LCMF,99,48,39,0,0,2,1,0.09,31,27,4,1,0,0,2,2,11,7,0,0,0,3,0,4,3,0,0
Miami - Atlanta United II 2:2,United States. USL Championship,2020-08-20,"LDMF, RDMF",81,61,38,0,0,0,0,0,34,27,1,1,0,0,2,2,16,8,1,1,6,9,6,9,1,0,0
Charleston Battery - Atlanta United II 3:2,United States. USL Championship,2020-08-16,"LCMF3, RCMF3",79,44,21,0,0,1,0,0.01,19,17,1,1,0,0,2,0,14,4,2,1,4,2,1,1,0,0,0
Atlanta United II - Tampa Bay Rowdies 0:2,United States. USL Championship,2020-08-13,"LCMF3, RCB",104,77,63,0,0,0,0,0,58,54,3,2,0,0,2,1,16,9,1,1,1,10,4,5,4,0,0
Birmingham Legion - Atlanta United II 1:0,United States. USL Championship,2020-08-09,"LCMF, RCMF",98,49,41,0,0,1,1,0.02,34,32,3,3,0,0,2,1,12,8,0,0,2,5,3,4,1,0,0
Atlanta United II - Charleston Battery 1:1,United States. USL Championship,2020-08-06,"LDMF, RDMF",51,36,29,0,0,0,0,0,20,20,0,0,0,0,1,1,10,9,2,2,1,0,0,6,1,0,0
Charleston Battery - Atlanta United II 3:0,United States. USL Championship,2020-07-25,LCMF,83,60,39,0,0,1,0,0.01,42,34,2,1,0,0,1,1,9,5,1,1,4,4,2,3,1,0,81
Atlanta United II - Memphis 901 2:2,United States. USL Championship,2020-07-19,"LCMF, RCB3",39,16,13,0,0,0,0,0,9,9,1,1,0,0,0,0,4,3,0,0,1,1,1,2,0,0,0
Tampa Bay Rowdies - Atlanta United II 2:1,United States. USL Championship,2020-07-12,"RCB, RCB3",40,23,18,0,0,0,0,0,12,12,1,1,0,0,1,1,8,5,1,1,1,1,1,9,1,0,0
